
Host: iw-p31-30-r.pace.gatech.edu

Timers On : Mon Apr 23 21:32:38 2018
Timers Off: Mon Apr 23 21:34:04 2018

Wall Time:       86.00 seconds

V: Grid     :       1.14u       0.02s 1.16462200w      1 call
JK: (A|mn)  :       7.15u       0.00s   3.574245w      6 calls
JK: (A|Q)^-1/2:       2.23u       0.04s   1.856883w      6 calls
JK: (Q|mn)  :       3.05u       0.00s   3.049786w      6 calls
HF: Form H  :       0.00u       0.00s 0.00938000w      1 call
HF: Form S/X:       0.03u       0.00s 0.01429600w      1 call
HF: Guess   :       0.82u       0.05s 0.43440600w      1 call
SAD Guess   :       0.81u       0.05s 0.43103600w      1 call
JK: D       :       0.02u       0.00s   0.005881w     47 calls
JK: USO2AO  :       0.01u       0.00s   0.001507w     47 calls
JK: JK      :      21.53u       0.81s      12.67w     47 calls
JK: J       :       0.90u       0.08s   0.482692w     48 calls
JK: J1      :       0.43u       0.04s   0.228633w     83 calls
JK: J2      :       0.46u       0.04s   0.250866w     83 calls
JK: K       :      19.78u       0.28s      11.51w     48 calls
JK: K1      :      12.15u       0.00s   6.078329w     83 calls
JK: K2      :       7.62u       0.28s   5.432243w     83 calls
JK: AO2USO  :       0.00u       0.00s   0.000056w     47 calls
DIISManager::add_entry:       0.17u       0.03s   0.255700w     46 calls
DIISManager::extrapolate:       0.56u       0.13s   0.683042w     45 calls
DIISManager::extrapolate: bMatrix setup:       0.56u       0.12s   0.670541w     45 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001664w     45 calls
DIISManager::extrapolate: form new data:       0.00u       0.01s   0.010547w     45 calls
HF: Form G  :      84.01u       1.09s      73.04w     12 calls
RKS: Form V :      62.45u       0.28s      60.37w     12 calls
V: D        :       0.00u       0.00s   0.005588w     12 calls
V: USO2AO   :       0.01u       0.00s   0.000640w     12 calls
V: V        :      62.44u       0.28s      60.36w     12 calls
Properties  :      39.38u       0.16s      37.94w   3624 calls
Points      :      27.36u       0.13s      26.25w   3624 calls
Functional  :      11.43u       0.05s      11.10w   3624 calls
V_XC        :      11.59u       0.07s      11.30w   3624 calls
LSDA        :       9.38u       0.05s   9.065087w   7248 calls
GGA         :       2.01u       0.02s   2.039317w   3624 calls
V: AO2USO   :       0.00u       0.00s   0.000022w     12 calls
HF: Form F  :       0.01u       0.00s   0.001746w     12 calls
HF: DIIS    :       0.82u       0.17s   0.996647w     12 calls
HF: Form C  :       0.30u       0.01s   0.177561w     12 calls
HF: Form D  :       0.01u       0.00s   0.005874w     12 calls

***********************************************************
