
Host: iw-p31-30-l.pace.gatech.edu

Timers On : Mon Apr 23 21:46:36 2018
Timers Off: Mon Apr 23 21:48:32 2018

Wall Time:      116.00 seconds

V: Grid     :       1.13u       0.02s 1.15907600w      1 call
JK: (A|mn)  :       7.18u       0.00s   3.583624w      6 calls
JK: (A|Q)^-1/2:       2.19u       0.08s   1.831023w      6 calls
JK: (Q|mn)  :       3.28u       0.00s   3.276032w      6 calls
HF: Form H  :       0.00u       0.00s 0.00434400w      1 call
HF: Form S/X:       0.02u       0.00s 0.01376900w      1 call
HF: Guess   :       0.82u       0.05s 0.43160000w      1 call
SAD Guess   :       0.81u       0.05s 0.42859900w      1 call
JK: D       :       0.02u       0.00s   0.005775w     47 calls
JK: USO2AO  :       0.01u       0.00s   0.001304w     47 calls
JK: JK      :      20.24u       1.00s      12.09w     47 calls
JK: J       :       0.82u       0.07s   0.468404w     48 calls
JK: J1      :       0.40u       0.05s   0.220519w     83 calls
JK: J2      :       0.42u       0.02s   0.244891w     83 calls
JK: K       :      18.63u       0.42s      10.97w     48 calls
JK: K1      :      11.14u       0.00s   5.560925w     83 calls
JK: K2      :       7.48u       0.42s   5.413101w     83 calls
JK: AO2USO  :       0.00u       0.00s   0.000056w     47 calls
DIISManager::add_entry:       0.51u       0.09s   2.510463w     46 calls
DIISManager::extrapolate:       0.81u       0.19s      23.43w     45 calls
DIISManager::extrapolate: bMatrix setup:       0.49u       0.13s      20.31w     45 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001574w     45 calls
DIISManager::extrapolate: form new data:       0.32u       0.06s   3.111807w     45 calls
HF: Form G  :      85.69u       1.40s      75.56w     12 calls
RKS: Form V :      65.42u       0.40s      63.46w     12 calls
V: D        :       0.00u       0.00s   0.005487w     12 calls
V: USO2AO   :       0.00u       0.00s   0.000620w     12 calls
V: V        :      65.42u       0.40s      63.45w     12 calls
Properties  :      41.90u       0.24s      40.24w   3528 calls
Points      :      29.01u       0.15s      27.62w   3528 calls
Functional  :      11.16u       0.08s      11.07w   3528 calls
V_XC        :      12.31u       0.07s      12.11w   3528 calls
LSDA        :      10.30u       0.05s      10.13w   7056 calls
GGA         :       1.86u       0.02s   1.796753w   3528 calls
V: AO2USO   :       0.00u       0.00s   0.000019w     12 calls
HF: Form F  :       0.00u       0.00s   0.001713w     12 calls
HF: DIIS    :       1.44u       0.29s      25.99w     12 calls
HF: Form C  :       0.19u       0.01s   0.174335w     12 calls
HF: Form D  :       0.03u       0.00s   0.005739w     12 calls

***********************************************************
